Iteration 00 | Test Loss = -0.6667
Result for handoverbox_neuhalf_baseline_svmrbf: -0.7636 ± 0.1330

Iteration 00 | Test Loss = -0.7273
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.6364
Iteration 03 | Test Loss = -0.6364
Iteration 04 | Test Loss = -0.2727
Iteration 05 | Test Loss = -0.6364
Iteration 06 | Test Loss = -0.3636
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.8182
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.9091
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.4545
Iteration 19 | Test Loss = -0.6364
Result for handoverbox_neuhalf_baseline_mlp: -0.5773 ± 0.1474

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.7273
Iteration 02 | Test Loss = -0.5455
Iteration 03 | Test Loss = -0.7273
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.8182
Iteration 06 | Test Loss = -0.7273
Iteration 07 | Test Loss = -0.7273
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.4545
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.7273
Result for handoverbox_neuhalf_fft_svmlinear: -0.6455 ± 0.1110

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.8182
Iteration 03 | Test Loss = -0.6364
Iteration 04 | Test Loss = -0.7273
Iteration 05 | Test Loss = -0.9091
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.8182
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -0.9091
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.8182
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -1.0000
Iteration 19 | Test Loss = -0.8182
Result for handoverbox_neuhalf_fft_svmrbf: -0.7364 ± 0.1405

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.4545
Iteration 03 | Test Loss = -0.8182
Iteration 04 | Test Loss = -0.3636
Iteration 05 | Test Loss = -0.3636
Iteration 06 | Test Loss = -0.6364
Iteration 07 | Test Loss = -0.7273
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.9091
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.4545
Iteration 15 | Test Loss = -0.4545
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.6364
Result for handoverbox_neuhalf_fft_mlp: -0.5955 ± 0.1451

Iteration 00 | Test Loss = -0.4167
Iteration 01 | Test Loss = -0.5000
Iteration 02 | Test Loss = -0.2500
Iteration 03 | Test Loss = -0.3333
Iteration 04 | Test Loss = -0.2500
Iteration 05 | Test Loss = -0.5000
Iteration 06 | Test Loss = -0.4167
Iteration 07 | Test Loss = -0.5000
Iteration 08 | Test Loss = -0.3333
Iteration 09 | Test Loss = -0.6667
Iteration 10 | Test Loss = -0.2500
Iteration 11 | Test Loss = -0.2500
Iteration 12 | Test Loss = -0.3333
Iteration 13 | Test Loss = -0.4167
Iteration 14 | Test Loss = -0.4167
Iteration 15 | Test Loss = -0.2500
Iteration 16 | Test Loss = -0.2500
Iteration 17 | Test Loss = -0.3333
Iteration 18 | Test Loss = -0.2500
Iteration 19 | Test Loss = -0.2500
Result for handoverplate_biotac_baseline_svmlinear: -0.3583 ± 0.1152

Iteration 00 | Test Loss = -0.0833
Iteration 01 | Test Loss = -0.5833
Iteration 02 | Test Loss = -0.6667
Iteration 03 | Test Loss = -0.5000
Iteration 04 | Test Loss = -0.3333
Iteration 05 | Test Loss = -0.7500
Iteration 06 | Test Loss = -0.5833
Iteration 07 | Test Loss = -0.7500
Iteration 08 | Test Loss = -0.5000
Iteration 09 | Test Loss = -0.5000
Iteration 10 | Test Loss = -0.5833
Iteration 11 | Test Loss = -0.5000
Iteration 12 | Test Loss = -0.1667
Iteration 13 | Test Loss = -0.4167
Iteration 14 | Test Loss = -0.3333
Iteration 15 | Test Loss = -0.3333
Iteration 16 | Test Loss = -0.3333
Iteration 17 | Test Loss = -0.5000
Iteration 18 | Test Loss = -0.7500
Iteration 19 | Test Loss = -0.2500
Result for handoverplate_biotac_baseline_svmrbf: -0.4708 ± 0.1850

Iteration 00 | Test Loss = -0.6667
Iteration 01 | Test Loss = -0.5833
Iteration 02 | Test Loss = -0.5000
Iteration 03 | Test Loss = -0.5000
Iteration 04 | Test Loss = -0.3333
Iteration 05 | Test Loss = -0.5833
Iteration 06 | Test Loss = -0.5000
Iteration 07 | Test Loss = -0.5833
Iteration 08 | Test Loss = -0.5000
Iteration 09 | Test Loss = -0.6667
Iteration 10 | Test Loss = -0.4167
Iteration 11 | Test Loss = -0.5833
Iteration 12 | Test Loss = -0.2500
Iteration 13 | Test Loss = -0.6667
Iteration 14 | Test Loss = -0.5000
Iteration 15 | Test Loss = -0.3333
Iteration 16 | Test Loss = -0.3333
Iteration 17 | Test Loss = -0.7500
Iteration 18 | Test Loss = -0.2500
Iteration 19 | Test Loss = -0.5000
Result for handoverplate_biotac_baseline_mlp: -0.5000 ± 0.1394

Iteration 00 | Test Loss = -0.8333
Iteration 01 | Test Loss = -0.9167
Iteration 02 | Test Loss = -0.9167
Iteration 03 | Test Loss = -0.8333
Iteration 04 | Test Loss = -0.8333
Iteration 05 | Test Loss = -0.9167
Iteration 06 | Test Loss = -0.6667
Iteration 07 | Test Loss = -0.5000
Iteration 08 | Test Loss = -0.5000
Iteration 09 | Test Loss = -0.9167
Iteration 10 | Test Loss = -0.6667
Iteration 11 | Test Loss = -0.8333
Iteration 12 | Test Loss = -0.5833
Iteration 13 | Test Loss = -0.7500
Iteration 14 | Test Loss = -0.7500
Iteration 15 | Test Loss = -0.8333
Iteration 16 | Test Loss = -0.8333
Iteration 17 | Test Loss = -0.6667
Iteration 18 | Test Loss = -0.8333
Iteration 19 | Test Loss = -0.5833
Result for handoverplate_biotac_fft_svmlinear: -0.7583 ± 0.1341

Iteration 00 | Test Loss = -0.5000
Iteration 01 | Test Loss = -0.6667
Iteration 02 | Test Loss = -0.6667
Iteration 03 | Test Loss = -0.7500
Iteration 04 | Test Loss = -0.5000
Iteration 05 | Test Loss = -0.6667
Iteration 06 | Test Loss = -0.8333
Iteration 07 | Test Loss = -0.5833
Iteration 08 | Test Loss = -0.5000
Iteration 09 | Test Loss = -0.6667
Iteration 10 | Test Loss = -0.5000
Iteration 11 | Test Loss = -0.5833
Iteration 12 | Test Loss = -0.3333
Iteration 13 | Test Loss = -0.6667
Iteration 14 | Test Loss = -0.5000
Iteration 15 | Test Loss = -0.8333
Iteration 16 | Test Loss = -0.5000
Iteration 17 | Test Loss = -0.5833
Iteration 18 | Test Loss = -0.7500
Iteration 19 | Test Loss = -0.7500
Result for handoverplate_biotac_fft_svmrbf: -0.6167 ± 0.1275

Iteration 00 | Test Loss = -0.8333
Iteration 01 | Test Loss = -0.8333
Iteration 02 | Test Loss = -0.8333
Iteration 03 | Test Loss = -0.9167
Iteration 04 | Test Loss = -0.7500
Iteration 05 | Test Loss = -0.7500
Iteration 06 | Test Loss = -0.8333
Iteration 07 | Test Loss = -0.5833
Iteration 08 | Test Loss = -0.5833
Iteration 09 | Test Loss = -0.9167
Iteration 10 | Test Loss = -0.7500
Iteration 11 | Test Loss = -0.8333
Iteration 12 | Test Loss = -0.5000
Iteration 13 | Test Loss = -0.6667
Iteration 14 | Test Loss = -0.7500
Iteration 15 | Test Loss = -0.9167
Iteration 16 | Test Loss = -0.8333
Iteration 17 | Test Loss = -0.7500
Iteration 18 | Test Loss = -0.8333
Iteration 19 | Test Loss = -0.6667
Result for handoverplate_biotac_fft_mlp: -0.7667 ± 0.1137

Iteration 00 | Test Loss = -0.2727
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.5455
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.7273
Iteration 06 | Test Loss = -0.3636
Iteration 07 | Test Loss = -0.7273
Iteration 08 | Test Loss = -0.3636
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.3636
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.9091
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.7273
Result for handoverplate_neutouch_baseline_svmlinear: -0.5773 ± 0.1608

Iteration 00 | Test Loss = -0.4545
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.6364
Iteration 04 | Test Loss = -0.8182
Iteration 05 | Test Loss = -0.7273
Iteration 06 | Test Loss = -0.9091
Iteration 07 | Test Loss = -0.2727
Iteration 08 | Test Loss = -0.8182
Iteration 09 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.4545
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.6364
Result for handoverplate_neutouch_baseline_svmrbf: -0.6500 ± 0.1633

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.4545
Iteration 03 | Test Loss = -0.6364
Iteration 04 | Test Loss = -0.4545
Iteration 05 | Test Loss = -0.6364
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.5455
Iteration 09 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.3636
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.4545
Result for handoverplate_neutouch_baseline_mlp: -0.5318 ± 0.1007

Iteration 00 | Test Loss = -0.4545
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.1818
Iteration 03 | Test Loss = -0.8182
Iteration 04 | Test Loss = -0.8182
Iteration 05 | Test Loss = -0.9091
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.6364
Iteration 08 | Test Loss = -0.6364
Iteration 09 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.9091
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.5455
Result for handoverplate_neutouch_fft_svmlinear: -0.6773 ± 0.1663

Iteration 00 | Test Loss = -0.4545
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.2727
Iteration 03 | Test Loss = -0.7273
Iteration 04 | Test Loss = -0.6364
Iteration 05 | Test Loss = -0.8182
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.9091
Iteration 09 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.9091
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.3636
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.5455
Result for handoverplate_neutouch_fft_svmrbf: -0.6591 ± 0.1673

Iteration 00 | Test Loss = -0.6364
Iteration 01 | Test Loss = -0.7273
Iteration 02 | Test Loss = -0.0909
Iteration 03 | Test Loss = -0.8182
Iteration 04 | Test Loss = -0.3636
Iteration 05 | Test Loss = -0.6364
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.6364
Iteration 09 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.2727
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.4545
Result for handoverplate_neutouch_fft_mlp: -0.5955 ± 0.1874

Iteration 00 | Test Loss = -0.2727
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.5455
Iteration 04 | Test Loss = -0.3636
Iteration 05 | Test Loss = -0.6364
Iteration 06 | Test Loss = -0.3636
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.3636
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.2727
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.9091
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.7273
Result for handoverplate_neuhalf_baseline_svmlinear: -0.5545 ± 0.1816

Iteration 00 | Test Loss = -0.3636
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.5455
Iteration 04 | Test Loss = -0.6364
Iteration 05 | Test Loss = -0.6364
Iteration 06 | Test Loss = -0.7273
Iteration 07 | Test Loss = -0.3636
Iteration 08 | Test Loss = -0.8182
Iteration 09 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.5455
Result for handoverplate_neuhalf_baseline_svmrbf: -0.6182 ± 0.1510

Iteration 00 | Test Loss = -0.3636
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.4545
Iteration 03 | Test Loss = -0.5455
Iteration 04 | Test Loss = -0.4545
Iteration 05 | Test Loss = -0.7273
Iteration 06 | Test Loss = -0.5455
Iteration 07 | Test Loss = -0.2727
Iteration 08 | Test Loss = -0.4545
Iteration 09 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.3636
Iteration 13 | Test Loss = -0.2727
Iteration 14 | Test Loss = -0.3636
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.3636
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.7273
Result for handoverplate_neuhalf_baseline_mlp: -0.4955 ± 0.1301

Iteration 00 | Test Loss = -0.2727
Iteration 01 | Test Loss = -0.4545
Iteration 02 | Test Loss = -0.0909
Iteration 03 | Test Loss = -0.7273
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.5455
Iteration 06 | Test Loss = -0.6364
Iteration 07 | Test Loss = -0.6364
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.8182
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.4545
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.3636
Result for handoverplate_neuhalf_fft_svmlinear: -0.5545 ± 0.1649

Iteration 00 | Test Loss = -0.3636
Iteration 01 | Test Loss = -0.3636
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.6364
Iteration 04 | Test Loss = -0.6364
Iteration 05 | Test Loss = -0.7273
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.9091
Iteration 09 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.3636
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.5455
Result for handoverplate_neuhalf_fft_svmrbf: -0.6182 ± 0.1564

Iteration 00 | Test Loss = -0.0000
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.1818
Iteration 03 | Test Loss = -0.6364
Iteration 04 | Test Loss = -0.4545
Iteration 05 | Test Loss = -0.4545
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.6364
Iteration 08 | Test Loss = -0.4545
Iteration 09 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.4545
Iteration 19 | Test Loss = -0.3636
Result for handoverplate_neuhalf_fft_mlp: -0.5136 ± 0.1755
